index,Dice,IoU,Precision,Recall,aji_plus,pq,detection_f1,segmentation_quality,recognition_quality
6538,0.7962085308056872,0.6614173228346457,0.85,0.7488201363398007,0.36803966437833713,0.2921979666933947,0.5,0.5843959333867894,0.5
6539,0.8018977439055166,0.6693065970174404,0.7604096869914808,0.8481742472773863,0.38299140803086096,0.2671330666461932,0.4050632911392405,0.6594847582827894,0.4050632911392405
6540,0.8058394160583942,0.6748166259168704,0.9355932203389831,0.7076923076923077,0.18532818532818532,0.0,0.0,0.0,0.0
6541,0.7806797853309482,0.6402582159624414,0.6994586123379398,0.8832418818026446,0.41911262798634813,0.30131245655440697,0.44660194174757284,0.6746778918500852,0.44660194174757284
6542,0.7641023216227718,0.6182569439130767,0.6754723290419662,0.87950364645695,0.3775624546832773,0.2735365554580604,0.4578313253012048,0.5974614237636583,0.4578313253012048
6543,0.37392373923739236,0.22995461422087746,0.42696629213483145,0.33260393873085337,0.1378299120234604,0.2236024844720497,0.2857142857142857,0.782608695652174,0.2857142857142857
6544,0.7755673735583131,0.633409594623579,0.7756182972203983,0.775516456582633,0.4746343391751219,0.3708770359112055,0.5,0.741754071822411,0.5
6545,0.8203501816980509,0.6954183936372802,0.7282538565311748,0.9391120187580364,0.41848061121522273,0.2901708044040739,0.42105263157894735,0.6891556604596755,0.42105263157894735
6546,0.8857821155367976,0.7949810606060606,0.8153563913020019,0.9695239317336071,0.49213098943492173,0.3933742256684186,0.5299145299145299,0.7423352323097577,0.5299145299145299
6547,0.8523649906890131,0.7427143506198481,0.8425741845224947,0.8623860125103625,0.40846149780666985,0.252454782651147,0.3723404255319149,0.6780214162630807,0.3723404255319149
6548,0.8355677154582763,0.7175751879699248,0.8052523334915361,0.8682549610507762,0.43683584456780333,0.3031110630692433,0.45,0.673580140153874,0.45
6549,0.8379023627233062,0.7210257863417399,0.8372475630321228,0.8385581874356334,0.3935751115230867,0.2960823746101002,0.43386243386243384,0.6824337658696211,0.43386243386243384
6550,0.7853031977741357,0.6465014119861939,0.7606881783947427,0.8115645186702379,0.3683986144417799,0.23940405924230918,0.35398230088495575,0.6763164673595234,0.35398230088495575
6551,0.7870261821023837,0.648840206185567,0.7199928501206542,0.8678229020790693,0.4422841506444877,0.4066590190749919,0.6129032258064516,0.6634962942802499,0.6129032258064516
6552,0.8307856618383286,0.7105503539620918,0.820435069215557,0.8414007571660357,0.43758533255314996,0.3643687671605701,0.5098039215686274,0.7147233509688106,0.5098039215686274
6553,0.7394292626601419,0.5865829189566432,0.6865427812946702,0.8011438103181222,0.36026368235474476,0.24680154976175284,0.4,0.6170038744043821,0.4
6554,0.8781928244500221,0.7828375888391682,0.9010755946068777,0.8564434845212383,0.30937136204889404,0.13747327667283896,0.21428571428571427,0.6415419578065819,0.21428571428571427
